Followers (Total),Followers (28 jours),Interactions (28 jours),Date
398,10,61,2024-06-03
399,13,62,2024-06-04
399,12,63,2024-06-05
400,11,70,2024-06-06
401,12,72,2024-06-07
403,15,82,2024-06-08
403,16,84,2024-06-09
403,15,87,2024-06-10
404,14,91,2024-06-11
404,15,92,2024-06-12
405,16,97,2024-06-13
405,16,107,2024-06-14
405,14,113,2024-06-15
405,14,114,2024-06-16
405,13,121,2024-06-17
404,13,135,2024-06-18
404,12,133,2024-06-19
404,12,131,2024-06-20
405,13,120,2024-06-21
412,15,106,2024-06-22
416,19,106,2024-06-23
417,20,106,2024-06-24
417,21,110,2024-06-25
417,21,111,2024-06-26
417,21,117,2024-06-27
420,24,132,2024-06-28
420,24,136,2024-06-29
421,25,145,2024-06-30
422,26,145,2024-07-01
422,25,139,2024-07-02
422,25,139,2024-07-03
422,24,135,2024-07-04
422,24,147,2024-07-05
422,21,142,2024-07-06
423,20,140,2024-07-07
423,21,139,2024-07-08
