Interactions (30 jours),Followers (Total),Date
5,128,2024-06-03
5,128,2024-06-04
6,128,2024-06-05
6,128,2024-06-06
6,128,2024-06-07
7,128,2024-06-08
7,128,2024-06-09
7,128,2024-06-10
7,128,2024-06-11
7,128,2024-06-12
7,128,2024-06-13
7,128,2024-06-14
7,128,2024-06-15
7,128,2024-06-16
7,128,2024-06-17
7,128,2024-06-18
7,130,2024-06-19
7,130,2024-06-20
8,129,2024-06-21
8,129,2024-06-22
7,129,2024-06-23
7,129,2024-06-24
7,128,2024-06-25
7,128,2024-06-26
8,127,2024-06-27
8,127,2024-06-28
8,127,2024-06-29
8,127,2024-06-30
8,127,2024-07-01
8,127,2024-07-02
