Followers (Total),Interactions (7 jours),Date
174,20,2024-06-03
175,35,2024-06-04
174,146,2024-06-05
174,180,2024-06-06
174,281,2024-06-07
174,327,2024-06-08
174,327,2024-06-09
174,345,2024-06-10
176,357,2024-06-11
176,300,2024-06-12
176,282,2024-06-13
176,215,2024-06-14
176,241,2024-06-15
176,248,2024-06-16
176,243,2024-06-17
176,244,2024-06-18
176,198,2024-06-19
176,199,2024-06-20
176,215,2024-06-21
176,175,2024-06-22
176,133,2024-06-23
176,126,2024-06-24
175,120,2024-06-25
175,102,2024-06-26
176,92,2024-06-27
175,64,2024-06-28
175,79,2024-06-29
175,79,2024-06-30
175,84,2024-07-01
175,84,2024-07-02
175,82,2024-07-03
175,77,2024-07-04
175,56,2024-07-05
183,247,2024-07-06
183,247,2024-07-07
185,414,2024-07-08
186,493,2024-07-09
186,624,2024-07-10
186,650,2024-07-11
186,687,2024-07-12
189,698,2024-07-13
189,532,2024-07-14
189,415,2024-07-15
189,341,2024-07-16
211,228,2024-07-17
230,265,2024-07-19
241,441,2024-07-20
242,441,2024-07-21
244,436,2024-07-22
246,498,2024-07-23
249,507,2024-07-24
258,486,2024-07-26
